"Source:","C:\Users\veraf\Documents\VeraProjects\KXR\powerBoard\KiCad\KXRPowerBoardV2\KXRPowerBoardV2.kicad_sch"
"Date:","1/25/2023 4:23:05 PM"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","138"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","COLOR","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","U9","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U10","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U11","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U12","MP2393","MP2393:MP2393","Footprints:SOTFL50P160X60-8N","","","","","",""
"","","U13","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","",""
"","","U14","DMP26M7UFG","DMP26M7UFG:DMP26M7UFG","Package_SON:Diodes_PowerDI3333-8","","","","","",""
"","","U15","DMP26M7UFG","DMP26M7UFG:DMP26M7UFG","Package_SON:Diodes_PowerDI3333-8","","","","","",""
"","","U16","DMP26M7UFG","DMP26M7UFG:DMP26M7UFG","Package_SON:Diodes_PowerDI3333-8","","","","","",""
"","","U17","DMP26M7UFG","DMP26M7UFG:DMP26M7UFG","Package_SON:Diodes_PowerDI3333-8","","","","","",""
"","","U18","DMP26M7UFG","DMP26M7UFG:DMP26M7UFG","Package_SON:Diodes_PowerDI3333-8","","","","","",""
"","","UART1","UART","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"","","Y1","8MHz","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","COLOR","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","1","3V3","3V3","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"2","1","5V1","5V","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"3","1","BATT1","BATT","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","~","","","","",""
"4","1","BOOT1","BOOT0","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"5","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:MagneticBuzzer_PUI_AT-0927-TT-6-R","~","","","","",""
"6","1","C1","110pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"7","1","C2","100pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"8","2","C3, C4","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","",""
"9","7","C5, C6, C29, C33, C34, C37, C38","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"10","1","C7","47pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"11","2","C8, C9","220uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","",""
"12","1","C10","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","",""
